,Year,State,Total Housing,Total Vacancies,Total Renter Occupied,Owner Occupied,For Rent,For Sale,County
323,2016, Washington,882655,50660,355444,476551,11305,5669,King County
368,2017, Washington,902107,51030,362523,488554,11022,5458,King County
413,2018, Washington,917904,52277,371184,494443,11584,4726,King County
458,2019, Washington,935471,53443,379735,502293,12956,5179,King County
51,2010, Washington,21040,4421,7229,9390,297,202,Kittitas County
96,2011, Washington,21533,4875,7141,9517,476,209,Kittitas County
141,2012, Washington,21803,5304,7225,9274,721,199,Kittitas County
186,2013, Washington,21968,5430,7152,9386,696,243,Kittitas County
231,2014, Washington,22188,5435,7152,9601,761,126,Kittitas County
276,2015, Washington,22364,5411,7186,9767,747,156,Kittitas County
321,2016, Washington,22539,5375,7643,9521,722,156,Kittitas County
366,2017, Washington,23062,5414,7476,10172,579,130,Kittitas County
411,2018, Washington,23393,5390,7646,10357,488,105,Kittitas County
456,2019, Washington,23801,5454,7498,10849,502,128,Kittitas County
37,2010, Idaho,61173,6613,15962,38598,660,750,Kootenai County
82,2011, Idaho,62369,7068,16191,39110,897,899,Kootenai County
127,2012, Idaho,63146,7795,16485,38866,1208,857,Kootenai County
172,2013, Idaho,63692,8013,16356,39323,1048,768,Kootenai County
217,2014, Idaho,64525,8718,16630,39177,1193,848,Kootenai County
262,2015, Idaho,65272,8851,16839,39582,1091,729,Kootenai County
307,2016, Idaho,66126,8913,17304,39909,890,918,Kootenai County
352,2017, Idaho,67941,9068,17144,41729,709,885,Kootenai County
397,2018, Idaho,69325,8828,17862,42635,628,871,Kootenai County
442,2019, Idaho,70892,8588,18443,43861,493,602,Kootenai County
15,2010, Texas,64,42,12,10,0,0,Loving County
60,2011, Texas,71,44,15,12,0,0,Loving County
105,2012, Texas,70,35,14,21,0,0,Loving County
150,2013, Texas,63,30,17,16,0,0,Loving County
195,2014, Texas,64,31,21,12,0,0,Loving County
240,2015, Texas,73,28,23,22,0,0,Loving County
285,2016, Texas,64,27,20,17,0,0,Loving County
330,2017, Texas,59,28,15,16,0,0,Loving County
375,2018, Texas,70,37,12,21,0,0,Loving County
420,2019, Texas,66,36,11,19,0,0,Loving County
33,2010, Nevada,21481,3715,4938,12828,890,673,Lyon County
78,2011, Nevada,22146,3773,5525,12848,752,566,Lyon County
123,2012, Nevada,22286,3738,5497,13051,706,425,Lyon County
168,2013, Nevada,22352,3074,5734,13544,501,339,Lyon County
213,2014, Nevada,22444,2716,5543,14185,270,289,Lyon County
258,2015, Nevada,22419,2895,5822,13702,294,396,Lyon County
303,2016, Nevada,22427,2841,6140,13446,351,480,Lyon County
348,2017, Nevada,22979,2852,5879,14248,297,487,Lyon County
393,2018, Nevada,23170,2642,6004,14524,259,461,Lyon County
438,2019, Nevada,23420,2231,6204,14985,274,376,Lyon County
29,2010, Florida,170719,39519,33983,97217,6953,5775,Manatee County
74,2011, Florida,172018,40700,35509,95809,7826,5230,Manatee County
119,2012, Florida,172901,41729,37072,94100,7587,4519,Manatee County
164,2013, Florida,173444,42247,37514,93683,6976,3874,Manatee County
209,2014, Florida,175211,41766,39474,93971,5914,3492,Manatee County
254,2015, Florida,177046,42321,40696,94029,5380,3200,Manatee County
299,2016, Florida,179365,43375,40884,95106,4962,3017,Manatee County
344,2017, Florida,183774,43519,40155,100100,4662,2803,Manatee County
389,2018, Florida,187302,43650,40809,102843,5303,2611,Manatee County
434,2019, Florida,191000,45644,39454,105902,6315,2704,Manatee County
41,2010, Arizona,1596165,214163,465487,916515,58105,35675,Maricopa County
86,2011, Arizona,1620963,226947,485677,908339,62194,36448,Maricopa County
131,2012, Arizona,1636502,234353,507455,894694,64958,33662,Maricopa County
176,2013, Arizona,1648392,236665,528865,882862,62970,30103,Maricopa County
221,2014, Arizona,1657753,233509,550645,873599,58343,28544,Maricopa County
266,2015, Arizona,1668555,226037,567191,875327,54724,24475,Maricopa County
311,2016, Arizona,1680412,214572,581070,884770,50088,21279,Maricopa County
356,2017, Arizona,1699628,210095,581017,908516,45587,20376,Maricopa County
401,2018, Arizona,1719157,198390,587655,933112,40608,18435,Maricopa County
446,2019, Arizona,1740694,188598,586804,965292,36361,16684,Maricopa County
45,2010, North Dakota,3019,551,781,1687,0,6,McKenzie County
90,2011, North Dakota,3069,503,791,1775,0,8,McKenzie County
135,2012, North Dakota,3125,516,794,1815,0,14,McKenzie County
180,2013, North Dakota,3227,561,876,1790,13,15,McKenzie County
225,2014, North Dakota,3373,618,866,1889,41,25,McKenzie County
270,2015, North Dakota,3944,730,1248,1966,48,19,McKenzie County
315,2016, North Dakota,4622,1005,1479,2138,67,48,McKenzie County
360,2017, North Dakota,5320,1669,1520,2131,316,40,McKenzie County
405,2018, North Dakota,5976,2077,1729,2170,447,40,McKenzie County
450,2019, North Dakota,6643,2341,1980,2322,387,27,McKenzie County
12,2010, Utah,2898,184,320,2394,0,37,Morgan County
57,2011, Utah,2959,202,348,2409,0,45,Morgan County
102,2012, Utah,3013,209,338,2466,0,39,Morgan County
147,2013, Utah,3074,214,310,2550,0,80,Morgan County
192,2014, Utah,3136,195,394,2547,17,89,Morgan County
237,2015, Utah,3200,176,507,2517,15,56,Morgan County
282,2016, Utah,3294,215,469,2610,15,46,Morgan County
327,2017, Utah,3405,169,500,2736,16,43,Morgan County
372,2018, Utah,3492,186,525,2781,15,0,Morgan County
417,2019, Utah,3574,209,494,2871,0,0,Morgan County
47,2010, North Dakota,3949,1098,786,2065,60,24,Mountrail County
92,2011, North Dakota,4041,1156,757,2128,41,23,Mountrail County
137,2012, North Dakota,4140,1087,841,2212,60,7,Mountrail County
182,2013, North Dakota,4260,1191,853,2216,60,9,Mountrail County
227,2014, North Dakota,4418,1310,984,2124,67,11,Mountrail County
272,2015, North Dakota,4576,1370,972,2234,89,10,Mountrail County
317,2016, North Dakota,4722,1561,973,2188,176,32,Mountrail County
362,2017, North Dakota,4903,1690,975,2238,216,42,Mountrail County
407,2018, North Dakota,4999,1764,1038,2197,217,56,Mountrail County
452,2019, North Dakota,5205,1845,1071,2289,264,75,Mountrail County
26,2010, Florida,122823,30297,31009,61517,4688,4566,Osceola County
71,2011, Florida,126290,33190,32762,60338,4465,4306,Osceola County
116,2012, Florida,127764,35545,33279,58940,4200,3677,Osceola County
161,2013, Florida,128867,38454,33347,57066,3808,3165,Osceola County
206,2014, Florida,130448,40034,33903,56511,3162,2289,Osceola County
251,2015, Florida,132185,39847,36146,56192,2415,1926,Osceola County
296,2016, Florida,135085,41761,37163,56161,2515,1610,Osceola County
341,2017, Florida,139796,43546,38110,58140,2522,1620,Osceola County
386,2018, Florida,144054,44896,38558,60600,2546,1547,Osceola County
431,2019, Florida,149427,46286,39587,63554,2904,1909,Osceola County
40,2010, Arizona,149501,30675,26530,92296,4128,5869,Pinal County
85,2011, Arizona,155504,34223,28456,92825,4316,6505,Pinal County
130,2012, Arizona,158891,36145,29181,93565,4244,6200,Pinal County
175,2013, Arizona,160903,37170,31656,92077,4339,5699,Pinal County
220,2014, Arizona,162412,36284,34107,92021,3787,4823,Pinal County
265,2015, Arizona,163490,35891,35448,92151,3201,4012,Pinal County
310,2016, Arizona,166455,35654,35954,94847,2933,3441,Pinal County
355,2017, Arizona,168786,35273,36585,96928,2870,2714,Pinal County
400,2018, Arizona,171368,34082,35171,102115,2544,2498,Pinal County
445,2019, Arizona,174329,33029,32898,108402,2409,2606,Pinal County
54,2010, Washington,281161,17230,84168,179763,4335,3429,Snohomish County
99,2011, Washington,284480,18149,85791,180540,4392,3676,Snohomish County
144,2012, Washington,286836,18290,87893,180653,4387,3392,Snohomish County
189,2013, Washington,288797,20075,89172,179550,4875,2999,Snohomish County
234,2014, Washington,291658,20144,90858,180656,4582,2473,Snohomish County
279,2015, Washington,294147,19381,93510,181256,4286,2202,Snohomish County
324,2016, Washington,297178,18552,94389,184237,4064,1802,Snohomish County
369,2017, Washington,302725,18248,95046,189431,3710,1693,Snohomish County
414,2018, Washington,306420,16683,96201,193536,3530,1662,Snohomish County
459,2019, Washington,310127,16304,96687,197136,3876,1617,Snohomish County
27,2010, Florida,86673,16349,16090,54234,3052,2511,St. Johns County
72,2011, Florida,88573,16766,16567,55240,2792,2271,St. Johns County
117,2012, Florida,89990,15969,17253,56768,2445,1952,St. Johns County
162,2013, Florida,91199,15641,17348,58210,1774,1681,St. Johns County
207,2014, Florida,92936,15493,18934,58509,1545,1247,St. Johns County
252,2015, Florida,94826,15584,19431,59811,1514,1023,St. Johns County
297,2016, Florida,97065,15757,19442,61866,1442,962,St. Johns County
342,2017, Florida,100322,16578,19239,64505,1515,891,St. Johns County
387,2018, Florida,103522,17254,18551,67717,1485,1035,St. Johns County
432,2019, Florida,107258,18485,17435,71338,1596,1337,St. Johns County
48,2010, North Dakota,10528,885,2629,7014,124,104,Stark County
93,2011, North Dakota,10638,845,2757,7036,138,24,Stark County
138,2012, North Dakota,10878,791,2890,7197,145,24,Stark County
183,2013, North Dakota,11379,940,2852,7587,203,27,Stark County
228,2014, North Dakota,12000,1113,3118,7769,274,42,Stark County
273,2015, North Dakota,12741,1362,3560,7819,456,43,Stark County
318,2016, North Dakota,13412,1842,3926,7644,660,80,Stark County
363,2017, North Dakota,14090,2128,4012,7950,751,192,Stark County
408,2018, North Dakota,14422,2272,4587,7563,765,195,Stark County
453,2019, North Dakota,14706,2182,4877,7647,674,192,Stark County
25,2010, Florida,48273,9684,4126,34463,757,840,Sumter County
70,2011, Florida,51047,10753,4184,36110,780,670,Sumter County
115,2012, Florida,53387,11573,4014,37800,1277,712,Sumter County
160,2013, Florida,55667,12160,4251,39256,1278,743,Sumter County
205,2014, Florida,58511,12643,4461,41407,1158,977,Sumter County
250,2015, Florida,61171,13132,4727,43312,1074,1006,Sumter County
295,2016, Florida,63694,14332,4841,44521,1163,1533,Sumter County
340,2017, Florida,66983,14623,5167,47193,1485,1534,Sumter County
385,2018, Florida,69130,14494,5595,49041,1924,1482,Sumter County
430,2019, Florida,70800,14570,5784,50446,1935,1101,Sumter County
