NAME,LSAD,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
"Rockingham County, NH",County or equivalent,295289,296195,298157,299456,301361,302691,304377,306669,308287,309769
"Strafford County, NH",County or equivalent,123200,124133,124768,125029,126542,127038,128311,129841,129797,130633
"Boulder, CO",Metropolitan Statistical Area,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196
"Boulder County, CO",County or equivalent,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196
"Bowling Green, KY",Metropolitan Statistical Area,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240
"Allen County, KY",County or equivalent,20037,20176,20232,20316,20493,20660,20721,20903,21122,21315
"Butler County, KY",County or equivalent,12735,12718,12738,12704,12736,12734,12686,12778,12743,12879
"Edmonson County, KY",County or equivalent,12228,12229,12091,12058,12007,11991,12076,12226,12249,12150
"Warren County, KY",County or equivalent,114341,115862,117389,119575,121394,124122,126419,129074,130750,132896
"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,251681,254297,254339,252401,253387,259232,263142,266289,269276,271473
"Kitsap County, WA",County or equivalent,251681,254297,254339,252401,253387,259232,263142,266289,269276,271473
"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332
"Fairfield County, CT",County or equivalent,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332
"Brownsville-Harlingen, TX",Metropolitan Statistical Area,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163
"Cameron County, TX",County or equivalent,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163
"Brunswick, GA",Metropolitan Statistical Area,112534,112895,113281,113781,114607,115779,116571,117587,118282,118779
"Brantley County, GA",County or equivalent,18479,18561,18532,18257,18366,18437,18415,18832,18985,19109
"Glynn County, GA",County or equivalent,79744,80111,80866,81497,82177,83311,84099,84675,84975,85292
"McIntosh County, GA",County or equivalent,14311,14223,13883,14027,14064,14031,14057,14080,14322,14378
"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,1135627,1135562,1134619,1134974,1135060,1133002,1130232,1129882,1129777,1127983
"Erie County, NY",County or equivalent,919152,919843,919906,920869,921755,920644,918678,919034,919717,918702
"Niagara County, NY",County or equivalent,216475,215719,214713,214105,213305,212358,211554,210848,210060,209281
"Burlington, NC",Metropolitan Statistical Area,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
"Alamance County, NC",County or equivalent,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
"Burlington-South Burlington, VT",Metropolitan Statistical Area,211538,213235,213962,214827,215676,217152,217447,218975,219939,220411
"Chittenden County, VT",County or equivalent,156769,158033,158673,159432,159945,161293,161563,163031,163571,163774
"Franklin County, VT",County or equivalent,47821,48228,48317,48407,48763,48988,48963,48969,49258,49402
"Grand Isle County, VT",County or equivalent,6948,6974,6972,6988,6968,6871,6921,6975,7110,7235
"California-Lexington Park, MD",Metropolitan Statistical Area,105761,107566,108800,109224,109913,110985,111750,112487,112720,113510
"St. Mary's County, MD",County or equivalent,105761,107566,108800,109224,109913,110985,111750,112487,112720,113510
"Canton-Massillon, OH",Metropolitan Statistical Area,404218,403331,403429,403365,403675,402433,401068,399327,398330,397520
"Carroll County, OH",County or equivalent,28846,28820,28538,28257,28129,27718,27621,27324,27082,26914
"Stark County, OH",County or equivalent,375372,374511,374891,375108,375546,374715,373447,372003,371248,370606
"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577
"Lee County, FL",County or equivalent,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577
"Cape Girardeau, MO-IL",Metropolitan Statistical Area,96447,96982,97210,97177,97405,97316,97109,96819,96868,96765
"Alexander County, IL",County or equivalent,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761
"Bollinger County, MO",County or equivalent,12342,12376,12442,12481,12415,12316,12205,12280,12189,12133
"Cape Girardeau County, MO",County or equivalent,75899,76614,77051,77458,77907,78238,78445,78261,78638,78871
"Carbondale-Marion, IL",Metropolitan Statistical Area,139409,139956,138698,140077,139658,139419,138634,137352,136694,135764
"Jackson County, IL",County or equivalent,60373,60369,59066,59760,59359,59214,58726,57904,57289,56750
"Johnson County, IL",County or equivalent,12604,12855,12856,12867,12887,12777,12454,12399,12423,12417
"Williamson County, IL",County or equivalent,66432,66732,66776,67450,67412,67428,67454,67049,66982,66597
"Carson City, NV",Metropolitan Statistical Area,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916
"Carson City, NV",County or equivalent,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916
"Casper, WY",Metropolitan Statistical Area,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858
"Natrona County, WY",County or equivalent,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858
"Cedar Rapids, IA",Metropolitan Statistical Area,258440,261028,261916,262706,264300,266312,268224,270653,272061,273032
"Benton County, IA",County or equivalent,26046,26078,25830,25699,25623,25608,25644,25656,25625,25645
"Jones County, IA",County or equivalent,20689,20743,20601,20519,20548,20433,20392,20618,20673,20681
"Linn County, IA",County or equivalent,211705,214207,215485,216488,218129,220271,222188,224379,225763,226706
"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,149925,150934,151482,151945,152607,153048,153705,154376,154579,155027
"Franklin County, PA",County or equivalent,149925,150934,151482,151945,152607,153048,153705,154376,154579,155027
"Champaign-Urbana, IL",Metropolitan Statistical Area,218255,219876,221131,222854,224351,225732,226722,226847,226284,226033
"Champaign County, IL",County or equivalent,201546,203197,204630,206425,207942,209382,210198,210425,209918,209689
"Piatt County, IL",County or equivalent,16709,16679,16501,16429,16409,16350,16524,16422,16366,16344
"Charleston, WV",Metropolitan Statistical Area,277805,276817,276704,275412,273606,270858,268130,264227,260280,257074
"Boone County, WV",County or equivalent,24608,24412,24358,24089,23716,23252,22809,22369,21953,21457
"Clay County, WV",County or equivalent,9373,9334,9208,9139,8881,8875,8829,8693,8639,8508
"Jackson County, WV",County or equivalent,29234,29321,29283,29193,29134,29170,29188,28908,28695,28576
"Kanawha County, WV",County or equivalent,192917,192183,192248,191539,190355,188282,186196,183385,180410,178124
"Lincoln County, WV",County or equivalent,21673,21567,21607,21452,21520,21279,21108,20872,20583,20409
"Charleston-North Charleston, SC",Metropolitan Statistical Area,667450,681262,696839,711272,726836,745185,761578,775537,788122,802122
"Berkeley County, SC",County or equivalent,179480,183778,189603,194031,198295,203066,208525,214541,221182,227907
"Charleston County, SC",County or equivalent,350940,357335,364628,371703,379793,389310,396880,402008,406222,411406
"Dorchester County, SC",County or equivalent,137030,140149,142608,145538,148748,152809,156173,158988,160718,162809
"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,2250121,2281230,2318671,2358660,2400483,2447898,2499697,2550373,2592950,2636883
"Anson County, NC",County or equivalent,26852,26512,26309,25957,25965,25602,25165,24829,24470,24446
