NAME,LSAD,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
"Wyoming County, PA",County or equivalent,28241,28309,28381,28133,28167,27812,27546,27396,27087,26794
"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,3449241,3503891,3558829,3612347,3675160,3739654,3816355,3885579,3935179,3979845
"Seattle-Bellevue-Kent, WA",Metropolitan Division,2653851,2696268,2743294,2791335,2842464,2895876,2953460,3005925,3041423,3074865
"King County, WA",County or equivalent,1938351,1974200,2011197,2047223,2085225,2126178,2166350,2203836,2228364,2252782
"Snohomish County, WA",County or equivalent,715500,722068,732097,744112,757239,769698,787110,802089,813059,822083
"Tacoma-Lakewood, WA",Metropolitan Division,795390,807623,815535,821012,832696,843778,862895,879654,893756,904980
"Pierce County, WA",County or equivalent,795390,807623,815535,821012,832696,843778,862895,879654,893756,904980
"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,138270,139103,140473,141895,144445,147434,151159,154241,157187,159923
"Indian River County, FL",County or equivalent,138270,139103,140473,141895,144445,147434,151159,154241,157187,159923
"Sebring-Avon Park, FL",Metropolitan Statistical Area,98635,98477,98222,98077,98584,100137,102041,103852,104933,106221
"Highlands County, FL",County or equivalent,98635,98477,98222,98077,98584,100137,102041,103852,104933,106221
"Sheboygan, WI",Metropolitan Statistical Area,115524,115208,114767,114697,114982,115196,115030,115089,115233,115340
"Sheboygan County, WI",County or equivalent,115524,115208,114767,114697,114982,115196,115030,115089,115233,115340
"Sherman-Denison, TX",Metropolitan Statistical Area,121034,121430,121854,122362,123599,125628,128291,131152,133787,136212
"Grayson County, TX",County or equivalent,121034,121430,121854,122362,123599,125628,128291,131152,133787,136212
"Shreveport-Bossier City, LA",Metropolitan Statistical Area,399935,403880,407435,406237,404534,404000,401947,400161,397281,394706
"Bossier Parish, LA",County or equivalent,117675,120134,123160,124021,124868,125554,125920,126959,127022,127039
"Caddo Parish, LA",County or equivalent,255590,256967,257252,255127,252605,251345,248837,245935,242833,240204
"De Soto Parish, LA",County or equivalent,26670,26779,27023,27089,27061,27101,27190,27267,27426,27463
"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
"Cochise County, AZ",County or equivalent,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
"Sioux City, IA-NE-SD",Metropolitan Statistical Area,143901,144171,143723,143623,143590,143736,143844,143165,143787,144701
"Woodbury County, IA",County or equivalent,102388,102720,102321,102284,102292,102492,102686,102132,102515,103107
"Dakota County, NE",County or equivalent,21034,20811,20714,20765,20547,20550,20279,20010,20002,20026
"Dixon County, NE",County or equivalent,5988,5998,5888,5815,5760,5769,5742,5746,5700,5636
"Union County, SD",County or equivalent,14491,14642,14800,14759,14991,14925,15137,15277,15570,15932
"Sioux Falls, SD",Metropolitan Statistical Area,229099,232150,237032,241772,246133,250012,254602,260083,263810,268232
"Lincoln County, SD",County or equivalent,45183,46800,48399,49891,51571,52959,54567,56681,58795,61128
"McCook County, SD",County or equivalent,5609,5542,5566,5594,5548,5483,5508,5561,5601,5586
"Minnehaha County, SD",County or equivalent,169955,171452,174766,177981,180822,183439,186268,189538,190992,193134
"Turner County, SD",County or equivalent,8352,8356,8301,8306,8192,8131,8259,8303,8422,8384
"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,319044,318884,318296,318639,319410,319703,321144,321538,322697,323613
"St. Joseph County, IN",County or equivalent,266797,266680,266492,267054,267848,268361,269862,270057,270972,271826
"Cass County, MI",County or equivalent,52247,52204,51804,51585,51562,51342,51282,51481,51725,51787
"Spartanburg, SC",Metropolitan Statistical Area,284731,286102,288176,290414,292981,296558,300867,306740,314137,319785
"Spartanburg County, SC",County or equivalent,284731,286102,288176,290414,292981,296558,300867,306740,314137,319785
"Spokane-Spokane Valley, WA",Metropolitan Statistical Area,515553,516889,518930,521603,526336,532163,541030,550259,558827,568521
"Spokane County, WA",County or equivalent,472081,473436,475447,478332,482857,488610,496889,505623,513603,522798
"Stevens County, WA",County or equivalent,43472,43453,43483,43271,43479,43553,44141,44636,45224,45723
"Springfield, IL",Metropolitan Statistical Area,210465,211736,212095,211713,211692,211254,210424,209365,207928,206868
"Menard County, IL",County or equivalent,12696,12698,12691,12572,12508,12356,12398,12293,12289,12196
"Sangamon County, IL",County or equivalent,197769,199038,199404,199141,199184,198898,198026,197072,195639,194672
"Springfield, MA",Metropolitan Statistical Area,694935,698017,699061,699964,701671,700688,699804,699387,700138,697382
"Franklin County, MA",County or equivalent,71369,71692,71687,71361,71298,70866,70622,70605,70611,70180
"Hampden County, MA",County or equivalent,464237,466171,466955,467747,469455,469113,467778,467705,468388,466372
"Hampshire County, MA",County or equivalent,159329,160154,160419,160856,160918,160709,161404,161077,161139,160830
"Springfield, MO",Metropolitan Statistical Area,437349,440432,444329,448427,451556,455593,457917,462090,466273,470300
"Christian County, MO",County or equivalent,77841,78649,79658,80621,81820,83077,84184,85392,87044,88595
"Dallas County, MO",County or equivalent,16722,16687,16694,16458,16335,16344,16381,16699,16782,16878
"Greene County, MO",County or equivalent,275309,277446,280447,283605,285241,287312,287818,289512,291054,293086
"Polk County, MO",County or equivalent,31157,31202,31082,31117,31118,31256,31380,31742,32214,32149
"Webster County, MO",County or equivalent,36320,36448,36448,36626,37042,37604,38154,38745,39179,39592
"Springfield, OH",Metropolitan Statistical Area,138274,137811,137171,136638,136311,135746,134723,134549,134528,134083
"Clark County, OH",County or equivalent,138274,137811,137171,136638,136311,135746,134723,134549,134528,134083
"State College, PA",Metropolitan Statistical Area,154230,155067,155826,158231,159653,160466,162034,162316,162601,162385
"Centre County, PA",County or equivalent,154230,155067,155826,158231,159653,160466,162034,162316,162601,162385
"Staunton, VA",Metropolitan Statistical Area,118314,118774,118463,119110,119469,120019,120747,121744,122628,123120
"Augusta County, VA",County or equivalent,73584,73648,73588,73842,73881,74292,74834,75177,75535,75558
"Staunton city, VA",County or equivalent,23737,24023,23809,24101,24283,24185,24156,24325,24562,24932
"Waynesboro city, VA",County or equivalent,20993,21103,21066,21167,21305,21542,21757,22242,22531,22630
"Stockton, CA",Metropolitan Statistical Area,687127,694354,699593,702046,711579,722271,732809,743296,752491,762148
"San Joaquin County, CA",County or equivalent,687127,694354,699593,702046,711579,722271,732809,743296,752491,762148
"Sumter, SC",Metropolitan Statistical Area,142555,142018,142126,142007,141877,141180,141334,140443,140151,140466
"Clarendon County, SC",County or equivalent,34948,34710,34326,34260,34214,34029,34259,34012,33742,33745
"Sumter County, SC",County or equivalent,107607,107308,107800,107747,107663,107151,107075,106431,106409,106721
"Syracuse, NY",Metropolitan Statistical Area,663110,662482,660902,661773,660085,657648,654391,651164,650281,648593
"Madison County, NY",County or equivalent,73440,72887,72414,72457,72210,71636,71387,70942,71117,70941
"Onondaga County, NY",County or equivalent,467533,467614,467030,468146,467285,466277,464109,461795,461649,460528
"Oswego County, NY",County or equivalent,122137,121981,121458,121170,120590,119735,118895,118427,117515,117124
"Tallahassee, FL",Metropolitan Statistical Area,369345,371246,375272,373187,375356,377602,378672,383173,384318,387227
"Gadsden County, FL",County or equivalent,47794,47373,46574,46087,46114,46060,46086,45993,45927,45660
"Jefferson County, FL",County or equivalent,14755,14529,14219,14209,14056,14115,13960,14165,14321,14246
"Leon County, FL",County or equivalent,275971,278371,283620,281887,283770,285904,286744,290965,291657,293582
"Wakulla County, FL",County or equivalent,30825,30973,30859,31004,31416,31523,31882,32050,32413,33739
"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,2788366,2813269,2843636,2880536,2927395,2983928,3048963,3106922,3154649,3194831
"Hernando County, FL",County or equivalent,172969,172847,172718,173639,175298,177900,182459,186704,190582,193920
"Hillsborough County, FL",County or equivalent,1233498,1255503,1279639,1304131,1332298,1364073,1396693,1426736,1451919,1471968
"Pasco County, FL",County or equivalent,465487,466464,469637,474352,483399,494895,509937,525141,539090,553947
"Pinellas County, FL",County or equivalent,916412,918455,921642,928414,936400,947060,959874,968341,973058,974996
"Terre Haute, IN",Metropolitan Statistical Area,189523,189541,189555,189089,188240,187365,187241,186846,186726,186367
"Clay County, IN",County or equivalent,26854,26837,26788,26662,26430,26395,26210,26167,26175,26225
"Parke County, IN",County or equivalent,17275,17084,17118,17237,17236,16970,16938,16907,16978,16937
"Sullivan County, IN",County or equivalent,21390,21218,21203,21138,20995,20874,20710,20700,20696,20669
"Vermillion County, IN",County or equivalent,16116,16072,15923,15852,15659,15593,15593,15503,15510,15498
"Vigo County, IN",County or equivalent,107888,108330,108523,108200,107920,107533,107790,107569,107367,107038
"Texarkana, TX-AR",Metropolitan Statistical Area,149332,149515,149609,149509,149229,149244,149543,149567,149347,148761
"Little River County, AR",County or equivalent,13132,12945,12916,12733,12503,12402,12406,12373,12297,12259
"Miller County, AR",County or equivalent,43562,43762,43663,43402,43458,43792,43713,43736,43362,43257
"Bowie County, TX",County or equivalent,92638,92808,93030,93374,93268,93050,93424,93458,93688,93245
"The Villages, FL",Metropolitan Statistical Area,94278,97975,101669,106898,112236,117076,122009,124995,128719,132420
"Sumter County, FL",County or equivalent,94278,97975,101669,106898,112236,117076,122009,124995,128719,132420
"Toledo, OH",Metropolitan Statistical Area,651372,650166,648750,648403,647228,645973,645441,644364,643089,641816
"Fulton County, OH",County or equivalent,42629,42363,42330,42199,42403,42301,42306,42265,42267,42126
"Lucas County, OH",County or equivalent,441434,439359,436753,436156,434585,433633,432879,431039,429612,428348
"Ottawa County, OH",County or equivalent,41359,41320,41242,41035,40903,40754,40488,40623,40769,40525
"Wood County, OH",County or equivalent,125950,127124,128425,129013,129337,129285,129768,130437,130441,130817
"Topeka, KS",Metropolitan Statistical Area,234266,234696,234407,233838,233717,233520,233139,232994,232266,231969
"Jackson County, KS",County or equivalent,13462,13427,13401,13310,13437,13285,13270,13332,13270,13171
"Jefferson County, KS",County or equivalent,19121,18942,18861,18773,18805,18794,18824,18932,18856,19043
"Osage County, KS",County or equivalent,16274,16341,16176,16080,15970,15865,15811,15842,15938,15949
"Shawnee County, KS",County or equivalent,178360,178948,178975,178650,178567,178689,178350,178056,177290,176875
"Wabaunsee County, KS",County or equivalent,7049,7038,6994,7025,6938,6887,6884,6832,6912,6931
"Trenton-Princeton, NJ",Metropolitan Statistical Area,367713,367378,368554,369429,368909,368124,367699,368168,368188,367430
"Mercer County, NJ",County or equivalent,367713,367378,368554,369429,368909,368124,367699,368168,368188,367430
"Tucson, AZ",Metropolitan Statistical Area,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
"Pima County, AZ",County or equivalent,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
"Tulsa, OK",Metropolitan Statistical Area,939833,945750,952484,961904,969421,980926,988706,991330,993135,998626
"Creek County, OK",County or equivalent,70248,70651,70760,70575,70559,70801,71191,71890,71730,71522
"Okmulgee County, OK",County or equivalent,40082,39783,39551,39396,39079,39065,39075,38819,38321,38465
"Osage County, OK",County or equivalent,47498,47784,47460,47391,47493,47338,47364,47346,47121,46963
"Pawnee County, OK",County or equivalent,16589,16731,16447,16456,16355,16439,16471,16419,16356,16376
"Rogers County, OK",County or equivalent,87017,87562,88101,88727,89366,90080,90992,91435,91801,92459
"Tulsa County, OK",County or equivalent,604973,609204,615181,623705,630918,640470,645951,646437,647683,651552
"Wagoner County, OK",County or equivalent,73426,74035,74984,75654,75651,76733,77662,78984,80123,81289
"Tuscaloosa, AL",Metropolitan Statistical Area,239481,240363,242328,244378,246988,249066,250099,250933,251257,252047
"Greene County, AL",County or equivalent,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
"Hale County, AL",County or equivalent,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
"Pickens County, AL",County or equivalent,19749,19354,19309,19300,20272,20776,20325,20204,19980,19930
"Tuscaloosa County, AL",County or equivalent,194996,196745,198807,201084,203086,204767,206464,207618,208319,209355
"Twin Falls, ID",Metropolitan Statistical Area,99987,100620,101128,102662,103912,105216,107252,109142,110095,111290
"Jerome County, ID",County or equivalent,22442,22520,22578,22768,22926,22971,23433,23768,24066,24412
"Twin Falls County, ID",County or equivalent,77545,78100,78550,79894,80986,82245,83819,85374,86029,86878
"Tyler, TX",Metropolitan Statistical Area,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751
"Smith County, TX",County or equivalent,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751
"Urban Honolulu, HI",Metropolitan Statistical Area,956285,967336,977994,986059,987414,991064,992268,986353,979858,974563
"Honolulu County, HI",County or equivalent,956285,967336,977994,986059,987414,991064,992268,986353,979858,974563
"Utica-Rome, NY",Metropolitan Statistical Area,299226,298604,297992,297230,295982,293916,292811,292174,291187,289990
"Herkimer County, NY",County or equivalent,64470,64386,64227,63883,63384,62652,62436,62163,61713,61319
"Oneida County, NY",County or equivalent,234756,234218,233765,233347,232598,231264,230375,230011,229474,228671
"Valdosta, GA",Metropolitan Statistical Area,140054,142007,144121,142937,143433,143311,144471,145360,146143,147292
"Brooks County, GA",County or equivalent,16246,15982,15617,15649,15526,15670,15725,15617,15479,15457
"Echols County, GA",County or equivalent,4015,4064,3967,3993,4032,4030,3956,3914,4000,4006
"Lanier County, GA",County or equivalent,10104,10482,10466,10412,10369,10269,10430,10425,10355,10423
"Lowndes County, GA",County or equivalent,109689,111479,114071,112883,113506,113342,114360,115404,116309,117406
"Vallejo, CA",Metropolitan Statistical Area,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643
"Solano County, CA",County or equivalent,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643
"Victoria, TX",Metropolitan Statistical Area,94102,94765,96447,97518,98548,99649,99914,99597,99466,99742
"Goliad County, TX",County or equivalent,7219,7208,7331,7452,7506,7513,7512,7552,7588,7658
"Victoria County, TX",County or equivalent,86883,87557,89116,90066,91042,92136,92402,92045,91878,92084
"Vineland-Bridgeton, NJ",Metropolitan Statistical Area,156699,157043,156934,156098,156009,154712,153233,151423,150635,149527
"Cumberland County, NJ",County or equivalent,156699,157043,156934,156098,156009,154712,153233,151423,150635,149527
"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area,1717036,1723208,1734121,1741366,1750937,1756340,1758763,1760926,1763713,1768901
"Camden County, NC",County or equivalent,10009,10024,10003,10116,10278,10282,10397,10532,10676,10867
"Currituck County, NC",County or equivalent,23674,23906,24025,24253,24820,25106,25640,26290,27016,27763
"Gates County, NC",County or equivalent,12165,12043,11890,11703,11633,11531,11569,11514,11563,11562
"Gloucester County, VA",County or equivalent,36940,36889,36838,36768,37024,37010,37114,37295,37341,37348
"Isle of Wight County, VA",County or equivalent,35316,35296,35343,35526,35865,36159,36326,36571,36972,37109
"James City County, VA",County or equivalent,67661,68297,69409,70612,72064,72819,73930,75274,76033,76523
"Mathews County, VA",County or equivalent,8974,8944,8911,8898,8813,8834,8769,8709,8792,8834
"Southampton County, VA",County or equivalent,18640,18638,18507,18329,18223,18136,18080,17841,17713,17631
"York County, VA",County or equivalent,65222,65772,65825,65980,66523,67802,67832,68022,67976,68280
"Chesapeake city, VA",County or equivalent,223556,225361,228091,230327,233360,235111,237464,240143,242359,244835
"Franklin city, VA",County or equivalent,8579,8445,8482,8536,8392,8331,8201,8145,8089,7967
"Hampton city, VA",County or equivalent,137415,136628,137177,137332,137680,136264,135374,134725,134330,134510
"Newport News city, VA",County or equivalent,180888,180078,180056,181275,181522,180958,180209,179447,178523,179225
"Norfolk city, VA",County or equivalent,242999,243655,246149,245468,246576,246457,245680,244543,243585,242742
"Poquoson city, VA",County or equivalent,12148,12042,12114,12094,12009,12021,11952,12039,12169,12271
"Portsmouth city, VA",County or equivalent,95451,95748,96480,96075,95829,96336,95165,94838,94750,94398
"Suffolk city, VA",County or equivalent,84813,84750,85251,85751,86882,88079,89194,90108,90975,92108
"Virginia Beach city, VA",County or equivalent,438859,442583,445044,447706,448864,450304,450983,449896,449849,449974
"Williamsburg city, VA",County or equivalent,13727,14109,14526,14617,14580,14800,14884,14994,15002,14954
"Visalia, CA",Metropolitan Statistical Area,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195
"Tulare County, CA",County or equivalent,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195
"Waco, TX",Metropolitan Statistical Area,253808,255700,256938,258685,260376,262660,264829,268971,271427,273920
"Falls County, TX",County or equivalent,17891,17848,17570,17242,17210,17216,17276,17340,17231,17297
"McLennan County, TX",County or equivalent,235917,237852,239368,241443,243166,245444,247553,251631,254196,256623
"Walla Walla, WA",Metropolitan Statistical Area,58915,59444,59329,59361,59510,59932,60008,60512,60615,60760
"Walla Walla County, WA",County or equivalent,58915,59444,59329,59361,59510,59932,60008,60512,60615,60760
"Warner Robins, GA",Metropolitan Statistical Area,168508,171561,173592,174689,175717,176293,178507,180163,182886,185409
"Houston County, GA",County or equivalent,140651,143775,145827,147527,148575,149323,151622,153202,155523,157863
"Peach County, GA",County or equivalent,27857,27786,27765,27162,27142,26970,26885,26961,27363,27546
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,5678491,5782319,5878942,5963312,6031945,6093950,6149301,6211341,6247841,6280487
"Frederick-Gaithersburg-Rockville, MD",Metropolitan Division,1209820,1228469,1244724,1256301,1267998,1277815,1285845,1297444,1303421,1310235
"Frederick County, MD",County or equivalent,234218,237284,239645,241129,243381,245001,246999,250622,254943,259547
"Montgomery County, MD",County or equivalent,975602,991185,1005079,1015172,1024617,1032814,1038846,1046822,1048478,1050688
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Division,4468671,4553850,4634218,4707011,4763947,4816135,4863456,4913897,4944420,4970252
"District of Columbia, DC",County or equivalent,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
"Calvert County, MD",County or equivalent,88988,89327,89720,90444,90540,90477,91052,91435,92065,92525
"Charles County, MD",County or equivalent,147159,149200,150668,152645,154359,155665,157292,159450,161476,163257
"Prince George's County, MD",County or equivalent,866419,874389,882490,890658,899686,906197,908501,909705,909619,909327
"Arlington County, VA",County or equivalent,209295,215990,221454,224894,225980,228548,231259,234647,236025,236842
"Clarke County, VA",County or equivalent,14012,14190,14245,14253,14315,14239,14294,14454,14511,14619
"Culpeper County, VA",County or equivalent,46838,47345,47844,48606,49237,49551,50319,51235,51795,52605
"Fairfax County, VA",County or equivalent,1086155,1103439,1120395,1131784,1136271,1140401,1144188,1148728,1148463,1147532
"Fauquier County, VA",County or equivalent,65440,66032,66561,67139,68116,68423,68805,69547,70642,71222
"Loudoun County, VA",County or equivalent,315478,326327,337847,349915,362206,374014,385546,397049,405522,413538
"Madison County, VA",County or equivalent,13300,13141,13132,13090,13030,13047,13081,13212,13248,13261
"Prince William County, VA",County or equivalent,406169,419094,429616,437735,443782,450978,456496,463069,466235,470335
"Rappahannock County, VA",County or equivalent,7500,7476,7409,7428,7336,7400,7380,7393,7345,7370
"Spotsylvania County, VA",County or equivalent,122976,124537,125827,127392,128804,129948,131252,132739,134011,136215
"Stafford County, VA",County or equivalent,129832,132200,133368,135923,138791,140868,143501,146792,149824,152882
"Warren County, VA",County or equivalent,37518,37646,37887,38500,40126,38716,39165,39409,40006,40164
"Alexandria city, VA",County or equivalent,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428
"Fairfax city, VA",County or equivalent,22614,22460,22894,23230,23310,23230,23246,23435,23725,24019
"Falls Church city, VA",County or equivalent,12399,12660,13087,13360,13416,13728,13582,14245,14467,14617
"Fredericksburg city, VA",County or equivalent,24354,25752,27179,27818,28256,28043,28360,28498,29171,29036
"Manassas city, VA",County or equivalent,38212,39101,40284,41082,41142,41409,41189,41141,41046,41085
"Manassas Park city, VA",County or equivalent,14449,15067,15397,15896,15916,16129,16456,17149,17718,17478
"Jefferson County, WV",County or equivalent,53609,54458,54699,55001,55625,56070,55979,56444,56890,57146
"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,167920,168443,168811,169853,170450,170852,170110,169359,168936,168522
"Black Hawk County, IA",County or equivalent,131162,131584,131878,132933,133390,133701,133077,132238,131723,131228
"Bremer County, IA",County or equivalent,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062
"Grundy County, IA",County or equivalent,12463,12478,12437,12341,12390,12405,12286,12298,12272,12232
"Watertown-Fort Drum, NY",Metropolitan Statistical Area,116592,117752,120235,118490,117971,116371,112980,113157,111866,109834
"Jefferson County, NY",County or equivalent,116592,117752,120235,118490,117971,116371,112980,113157,111866,109834
"Wausau-Weston, WI",Metropolitan Statistical Area,162829,162844,162870,163189,163241,163181,162935,163203,163094,163285
"Lincoln County, WI",County or equivalent,28779,28505,28502,28305,28108,27867,27834,27751,27673,27593
"Marathon County, WI",County or equivalent,134050,134339,134368,134884,135133,135314,135101,135452,135421,135692
"Weirton-Steubenville, WV-OH",Metropolitan Statistical Area,124329,123482,122680,122139,121507,120665,119269,118074,116982,116074
"Jefferson County, OH",County or equivalent,69670,69035,68538,68168,67876,67495,66944,66318,65774,65325
"Brooke County, WV",County or equivalent,23978,23814,23677,23589,23368,23190,22663,22373,22129,21939
"Hancock County, WV",County or equivalent,30681,30633,30465,30382,30263,29980,29662,29383,29079,28810
"Wenatchee, WA",Metropolitan Statistical Area,111264,111876,112669,113110,113894,115586,117221,118325,119501,120629
"Chelan County, WA",County or equivalent,72750,73214,73472,73723,74121,75041,75855,76298,76752,77200
"Douglas County, WA",County or equivalent,38514,38662,39197,39387,39773,40545,41366,42027,42749,43429
"Wheeling, WV-OH",Metropolitan Statistical Area,147899,147260,146527,145938,144968,144157,142955,141255,140059,138948
"Belmont County, OH",County or equivalent,70333,70122,69709,69563,69367,68973,68606,68002,67533,67006
"Marshall County, WV",County or equivalent,33094,32936,32826,32643,32360,32215,31720,31252,30821,30531
"Ohio County, WV",County or equivalent,44472,44202,43992,43732,43241,42969,42629,42001,41705,41411
"Wichita, KS",Metropolitan Statistical Area,623887,625327,628159,630365,632810,635551,637653,637511,637519,640218
"Butler County, KS",County or equivalent,65901,65838,65669,65671,65861,66249,66652,66845,66833,66911
"Harvey County, KS",County or equivalent,34740,34691,34754,34715,34597,34802,34726,34373,34183,34429
"Sedgwick County, KS",County or equivalent,499128,501011,504101,506442,508968,511083,513092,513176,513484,516042
"Sumner County, KS",County or equivalent,24118,23787,23635,23537,23384,23417,23183,23117,23019,22836
"Wichita Falls, TX",Metropolitan Statistical Area,151649,150311,151040,151448,151867,150083,150327,150956,150955,151254
"Archer County, TX",County or equivalent,9118,8840,8816,8801,8844,8763,8781,8783,8700,8553
"Clay County, TX",County or equivalent,10737,10668,10523,10455,10377,10359,10251,10484,10448,10471
"Wichita County, TX",County or equivalent,131794,130803,131701,132192,132646,130961,131295,131689,131807,132230
"Williamsport, PA",Metropolitan Statistical Area,116225,116748,117222,116598,116290,115598,114876,114012,113866,113299
"Lycoming County, PA",County or equivalent,116225,116748,117222,116598,116290,115598,114876,114012,113866,113299
"Wilmington, NC",Metropolitan Statistical Area,255699,259141,262759,267700,271863,276848,283580,289447,294273,297533
"New Hanover County, NC",County or equivalent,203284,205966,209045,212921,215963,219422,224809,228728,232256,234473
"Pender County, NC",County or equivalent,52415,53175,53714,54779,55900,57426,58771,60719,62017,63060
"Winchester, VA-WV",Metropolitan Statistical Area,128652,129954,130910,132278,133526,134284,135739,138020,139492,140566
"Frederick County, VA",County or equivalent,78550,79512,80229,81474,82714,83493,84638,86456,88173,89313
"Winchester city, VA",County or equivalent,26150,26660,27008,27321,27382,27480,27785,28178,27962,28078
"Hampshire County, WV",County or equivalent,23952,23782,23673,23483,23430,23311,23316,23386,23357,23175
"Winston-Salem, NC",Metropolitan Statistical Area,641245,644266,646794,649901,653250,656277,661024,666640,671129,676008
"Davidson County, NC",County or equivalent,162840,162923,163040,163295,163383,163486,164270,165180,166358,167609
"Davie County, NC",County or equivalent,41254,41335,41281,41435,41259,41648,41921,42308,42563,42846
"Forsyth County, NC",County or equivalent,351374,354524,357598,360594,364439,367365,371260,375840,379216,382295
"Stokes County, NC",County or equivalent,47344,47142,46731,46514,46323,46159,45920,45724,45511,45591
"Yadkin County, NC",County or equivalent,38433,38342,38144,38063,37846,37619,37653,37588,37481,37667
"Worcester, MA-CT",Metropolitan Statistical Area,918935,922378,924856,928346,932278,934604,936422,942147,946113,947404
"Windham County, CT",County or equivalent,118544,118315,117914,117500,116752,116487,116102,116398,117059,116782
"Worcester County, MA",County or equivalent,800391,804063,806942,810846,815526,818117,820320,825749,829054,830622
"Yakima, WA",Metropolitan Statistical Area,244256,245926,246127,246485,246870,247800,249327,249922,250562,250873
"Yakima County, WA",County or equivalent,244256,245926,246127,246485,246870,247800,249327,249922,250562,250873
"York-Hanover, PA",Metropolitan Statistical Area,435413,436701,437466,438932,440475,441741,443693,445484,447847,449058
"York County, PA",County or equivalent,435413,436701,437466,438932,440475,441741,443693,445484,447847,449058
"Youngstown-Warren-Boardman, OH-PA",Metropolitan Statistical Area,564826,562347,558530,555850,553039,548798,544582,541545,538226,536081
"Mahoning County, OH",County or equivalent,238381,237363,235702,234393,233391,231846,230269,229791,229216,228683
"Trumbull County, OH",County or equivalent,209840,208834,207191,206328,204973,203328,201715,200281,198539,197974
"Mercer County, PA",County or equivalent,116605,116150,115637,115129,114675,113624,112598,111473,110471,109424
"Yuba City, CA",Metropolitan Statistical Area,167099,166971,166963,167597,168311,169327,170694,172782,173905,175639
"Sutter County, CA",County or equivalent,94751,94482,94189,94507,94778,95282,95742,96204,96348,96971
"Yuba County, CA",County or equivalent,72348,72489,72774,73090,73533,74045,74952,76578,77557,78668
"Yuma, AZ",Metropolitan Statistical Area,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
"Yuma County, AZ",County or equivalent,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
"Aberdeen, SD",Micropolitan Statistical Area,40718,40966,41580,42159,42224,42396,42839,43205,43011,42668
"Brown County, SD",County or equivalent,36653,36925,37569,38136,38255,38400,38900,39290,39145,38839
"Edmunds County, SD",County or equivalent,4065,4041,4011,4023,3969,3996,3939,3915,3866,3829
"Aberdeen, WA",Micropolitan Statistical Area,72848,72366,71773,71046,70780,71011,71531,72490,73801,75061
"Grays Harbor County, WA",County or equivalent,72848,72366,71773,71046,70780,71011,71531,72490,73801,75061
"Ada, OK",Micropolitan Statistical Area,37595,37749,38060,38159,38286,38336,38512,38371,38272,38284
"Pontotoc County, OK",County or equivalent,37595,37749,38060,38159,38286,38336,38512,38371,38272,38284
"Adrian, MI",Micropolitan Statistical Area,99640,99355,99021,98822,98740,98391,98496,98427,98141,98451
"Lenawee County, MI",County or equivalent,99640,99355,99021,98822,98740,98391,98496,98427,98141,98451
"Alamogordo, NM",Micropolitan Statistical Area,64403,65642,66208,66304,65336,64768,65647,66121,66659,67490
"Otero County, NM",County or equivalent,64403,65642,66208,66304,65336,64768,65647,66121,66659,67490
"Albemarle, NC",Micropolitan Statistical Area,60579,60530,60462,60633,60618,60622,60826,61505,62180,62806
"Stanly County, NC",County or equivalent,60579,60530,60462,60633,60618,60622,60826,61505,62180,62806
"Albert Lea, MN",Micropolitan Statistical Area,31204,31069,31026,30923,30742,30522,30449,30582,30480,30281
"Freeborn County, MN",County or equivalent,31204,31069,31026,30923,30742,30522,30449,30582,30480,30281
"Albertville, AL",Micropolitan Statistical Area,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
"Marshall County, AL",County or equivalent,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
"Alexander City, AL",Micropolitan Statistical Area,53256,52888,52394,52282,51921,51539,51405,51337,51178,51030
