State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2011,211044
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2012,211990
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2013,214421
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2014,217716
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2015,220805
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2016,224575
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2017,228082
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2018,231772
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2019,235099
AZ,Yuma,YumaAZ,18037,9.214303959,2010,197127
AZ,Yuma,YumaAZ,18037,9.214303959,2011,202841
AZ,Yuma,YumaAZ,18037,9.214303959,2012,202475
AZ,Yuma,YumaAZ,18037,9.214303959,2013,202420
AZ,Yuma,YumaAZ,18037,9.214303959,2014,204054
AZ,Yuma,YumaAZ,18037,9.214303959,2015,205186
AZ,Yuma,YumaAZ,18037,9.214303959,2016,207247
AZ,Yuma,YumaAZ,18037,9.214303959,2017,209507
AZ,Yuma,YumaAZ,18037,9.214303959,2018,211612
AZ,Yuma,YumaAZ,18037,9.214303959,2019,213787
AR,Benton,BentonAR,57793,26.10956503,2010,222593
AR,Benton,BentonAR,57793,26.10956503,2011,229171
AR,Benton,BentonAR,57793,26.10956503,2012,234938
AR,Benton,BentonAR,57793,26.10956503,2013,239461
AR,Benton,BentonAR,57793,26.10956503,2014,244841
AR,Benton,BentonAR,57793,26.10956503,2015,251591
AR,Benton,BentonAR,57793,26.10956503,2016,259212
AR,Benton,BentonAR,57793,26.10956503,2017,266585
AR,Benton,BentonAR,57793,26.10956503,2018,272266
AR,Benton,BentonAR,57793,26.10956503,2019,279141
AR,Washington,WashingtonAR,36137,17.79709431,2010,204024
AR,Washington,WashingtonAR,36137,17.79709431,2011,208051
AR,Washington,WashingtonAR,36137,17.79709431,2012,211756
AR,Washington,WashingtonAR,36137,17.79709431,2013,216000
AR,Washington,WashingtonAR,36137,17.79709431,2014,219941
AR,Washington,WashingtonAR,36137,17.79709431,2015,224434
AR,Washington,WashingtonAR,36137,17.79709431,2016,228482
AR,Washington,WashingtonAR,36137,17.79709431,2017,232732
AR,Washington,WashingtonAR,36137,17.79709431,2018,236611
AR,Washington,WashingtonAR,36137,17.79709431,2019,239187
AR,Craighead,CraigheadAR,13889,14.40125255,2010,96748
AR,Craighead,CraigheadAR,13889,14.40125255,2011,98405
AR,Craighead,CraigheadAR,13889,14.40125255,2012,99993
